miRNA	biofluid	n_datasets	datasets	mean_logFC	mean_AUC	min_AUC	max_adj_P_Val	KJENS_logFC	KJENS_AUC	TTUSC_logFC	TTUSC_AUC	LLAUR_logFC	LLAUR_AUC
hsa-miR-106b-3p	Plasma	2	KJENS,TTUSC	2.4890	0.9544	0.9186	0.0000	3.4990	0.9902	1.4791	0.9186		
hsa-miR-144-3p	Plasma	2	KJENS,TTUSC	3.4974	0.9410	0.9078	0.0000	5.0615	0.9741	1.9334	0.9078		
hsa-miR-25-3p	Plasma	2	KJENS,TTUSC	1.9928	0.9404	0.9331	0.0000	2.7045	0.9331	1.2811	0.9477		
hsa-miR-4732-3p	Plasma	2	KJENS,TTUSC	3.4777	0.9387	0.9207	0.0000	4.1558	0.9567	2.7996	0.9207		
hsa-miR-107	Plasma	2	KJENS,TTUSC	1.9157	0.9203	0.8989	0.0000	2.1796	0.8989	1.6518	0.9417		
hsa-miR-486-3p	Plasma	2	KJENS,TTUSC	2.7771	0.9144	0.8459	0.0000	4.5339	0.9829	1.0204	0.8459		
hsa-miR-106b-5p	Plasma	2	KJENS,TTUSC	2.3196	0.9114	0.8992	0.0000	3.4689	0.9235	1.1703	0.8992		
hsa-let-7i-5p	Plasma	2	KJENS,TTUSC	1.4312	0.8705	0.8390	0.0000	1.9437	0.9019	0.9187	0.8390		
hsa-miR-484	Plasma	2	KJENS,TTUSC	2.0123	0.8692	0.8338	0.0000	3.0321	0.9047	0.9925	0.8338		
hsa-miR-93-5p	Plasma	2	KJENS,TTUSC	2.2612	0.8635	0.7537	0.0000	3.8119	0.9734	0.7105	0.7537		
hsa-miR-185-5p	Plasma	2	KJENS,TTUSC	2.1410	0.8618	0.8050	0.0000	3.0606	0.9185	1.2213	0.8050		
hsa-miR-16-5p	Plasma	2	KJENS,TTUSC	2.4144	0.8615	0.8450	0.0000	3.5107	0.8780	1.3181	0.8450		
hsa-miR-3158-3p	Plasma	2	KJENS,TTUSC	1.9765	0.8533	0.8287	0.0000	1.8558	0.8287	2.0972	0.8778		
hsa-miR-486-5p	Plasma	3	KJENS,TTUSC,LLAUR	3.5874	0.8524	0.5922	0.0166	7.0145	0.9929	2.1835	0.9719	1.5641	0.5922
hsa-miR-15a-5p	Plasma	2	KJENS,TTUSC	2.4168	0.8519	0.8148	0.0000	3.8083	0.8891	1.0253	0.8148		
hsa-miR-92a-3p	Plasma	2	KJENS,TTUSC	1.3847	0.8461	0.7910	0.0000	1.3595	0.7910	1.4099	0.9012		
hsa-miR-15b-3p	Plasma	2	KJENS,TTUSC	1.4665	0.8436	0.7939	0.0000	1.6733	0.7939	1.2597	0.8933		
hsa-miR-19b-3p	Plasma	2	KJENS,TTUSC	1.5696	0.8405	0.7820	0.0000	2.1550	0.8991	0.9842	0.7820		
hsa-miR-451a	Plasma	3	KJENS,TTUSC,LLAUR	3.2899	0.8403	0.6250	0.0046	6.3379	0.9797	1.9061	0.9161	1.6257	0.6250
hsa-miR-140-3p	Plasma	2	KJENS,TTUSC	1.5585	0.8391	0.7624	0.0000	2.5518	0.9158	0.5651	0.7624		
hsa-miR-16-2-3p	Plasma	3	KJENS,TTUSC,LLAUR	2.4136	0.8339	0.5971	0.0353	4.5173	0.9648	1.7485	0.9397	0.9750	0.5971
hsa-miR-550a-3p	Plasma	2	KJENS,TTUSC	1.7143	0.8267	0.7929	0.0000	1.5533	0.7929	1.8754	0.8605		
hsa-miR-151b	Plasma	2	KJENS,TTUSC	1.3988	0.8265	0.7867	0.0000	1.3152	0.7867	1.4825	0.8662		
hsa-miR-18a-3p	Plasma	2	KJENS,TTUSC	1.4929	0.8252	0.8026	0.0000	1.7254	0.8477	1.2605	0.8026		
hsa-miR-22-3p	Plasma	2	KJENS,TTUSC	1.3854	0.8198	0.7089	0.0000	2.2897	0.9307	0.4812	0.7089		
hsa-miR-20a-5p	Plasma	2	KJENS,TTUSC	1.8165	0.8198	0.7922	0.0000	2.7777	0.8473	0.8554	0.7922		
hsa-miR-101-3p	Plasma	2	KJENS,TTUSC	1.2152	0.8185	0.7099	0.0000	0.9070	0.7099	1.5235	0.9271		
hsa-miR-19a-3p	Plasma	2	KJENS,TTUSC	1.8368	0.8175	0.7412	0.0000	2.7873	0.8938	0.8862	0.7412		
hsa-miR-17-3p	Plasma	2	KJENS,TTUSC	2.0818	0.8117	0.6585	0.0003	3.4157	0.9649	0.7478	0.6585		
hsa-miR-126-3p	Plasma	2	KJENS,LLAUR	3.8457	0.8112	0.6370	0.0046	6.2385	0.9854			1.4529	0.6370
