sample_id	dataset_id	library_size	biofluid	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
sample_Sample_B_001_PC02_CAGGCG_R1_001_fastq	EXR-KJENS1RID1-AN	1242620.0	Plasma	3159879.0	1242620.0	False
sample_Sample_B_002_PC02_CATTTT_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	519364.0	Plasma	1967524.0	519364.0	False
sample_Sample_B_004_BC01_CATGGC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	740897.0	Plasma	5437464.0	740897.0	False
sample_Sample_B_004_GC11_CAGGCG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	881807.0	Plasma	7242103.0	881807.0	False
sample_Sample_B_004_GC12_ACTTGA_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	51001.0	Plasma	1006921.0	51001.0	True
sample_Sample_B_005_BC01_GTCCGC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	1662006.9999999998	Plasma	2956780.0	1662007.0	False
sample_Sample_B_005_GC06_CTCAGA_R1_001_fastq	EXR-KJENS1RID1-AN	1122959.0	Plasma	5460643.0	1122959.0	False
sample_Sample_B_005_GC07_AGTTCC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	257963.00000000003	Plasma	1512383.0	257963.0	False
sample_Sample_B_005_GC08_GGTAGC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	3805.0	Plasma	93779.0	3805.0	True
sample_Sample_B_005_GC09_CAGATC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	122925.99999999999	Plasma	4667186.0	122926.0	False
sample_Sample_B_005_GC12_CATGGC_R1_001_fastq	EXR-KJENS1RID1-AN	791639.0	Plasma	2244329.0	791639.0	False
sample_Sample_B_005_GC16_ACAGTG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	463965.00000000006	Plasma	11486344.0	463965.0	False
sample_Sample_B_006_BC01_TAGCTT_R1_001_fastq	EXR-KJENS1RID1-AN	2857239.0000000005	Plasma	4732979.0	2857239.0	False
sample_Sample_B_006_GC06_CTTGTA_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	643877.0	Plasma	3676007.0	643877.0	False
sample_Sample_B_006_GC07_ATGTCA_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	3060076.0	Plasma	6098971.0	3060076.0	False
sample_Sample_B_007_BC01_GTAGAG_R1_001_fastq	EXR-KJENS1RID1-AN	5235467.0	Plasma	7336141.0	5235467.0	False
sample_Sample_B_007_GC05_ACTGAT_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	596844.0	Plasma	1568257.0	596844.0	False
sample_Sample_B_007_GC07_CAACTA_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	722849.0	Plasma	839485.0	722849.0	False
sample_Sample_B_007_GC10_TCCCGA_R1_001_fastq	EXR-KJENS1RID1-AN	808899.0	Plasma	2660341.0	808899.0	False
sample_Sample_B_007_PC02_TAGCTT_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	562506.0	Plasma	9962844.0	562506.0	False
sample_Sample_B_008_BC01_Yr2_AGTTCC_R1_001_fastq	EXR-KJENS1RID1-AN	568400.0	Plasma	7804358.0	568400.0	False
sample_Sample_B_008_GC10_Yr2_CCAACA_R1_001_fastq	EXR-KJENS1RID1-AN	1029261.0000000001	Plasma	4105662.0	1029261.0	False
sample_Sample_B_010_BC01_Yr2_TTAGGC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	284166.00000000006	Plasma	953585.0	284166.0	False
sample_Sample_B_010_GC02_Yr2_GTTTCG_R1_001_fastq	EXR-KJENS1RID1-AN	2118291.9999999995	Plasma	10059724.0	2118292.0	False
sample_Sample_B_010_GC07_Yr2_TACAGC_R1_001_fastq	EXR-KJENS1RID1-AN	3944214.0	Plasma	14272767.0	3944214.0	False
sample_Sample_B_010_GC08_Yr2_TCATTC_R1_001_fastq	EXR-KJENS1RID1-AN	3775225.0	Plasma	11908069.0	3775225.0	False
sample_Sample_B_010_GC09_Yr2_CGGAAT_R1_001_fastq	EXR-KJENS1RID1-AN	1404919.0000000002	Plasma	8757634.0	1404919.0	False
sample_Sample_B_011_BC01_GATCAG_R1_001_fastq	EXR-KJENS1RID1-AN	4738768.0	Plasma	9546355.0	4738768.0	False
sample_Sample_B_011_BC01_Yr2_GTGGCC_R1_001_fastq	EXR-KJENS1RID1-AN	2403108.0000000005	Plasma	9391389.0	2403108.0	False
sample_Sample_B_011_GC01_Yr2_GAGTGG_R1_001_fastq	EXR-KJENS1RID1-AN	243629.0	Plasma	2349743.0	243629.0	False
sample_Sample_B_011_GC05_Yr2_TACAGC_R1_001_fastq	EXR-KJENS1RID1-AN	133621.0	Plasma	1074689.0	133621.0	False
sample_Sample_B_011_GC07_TGACCA_R1_001_fastq	EXR-KJENS1RID1-AN	1787449.0000000002	Plasma	3025851.0	1787449.0	False
sample_Sample_B_011_GC11_Yr2_ATGAGC_R1_001_fastq	EXR-KJENS1RID1-AN	2681961.9999999995	Plasma	9190354.0	2681962.0	False
sample_Sample_B_013_BC01_CCGTCC_R1_001_fastq	EXR-KJENS1RID1-AN	1134278.0	Plasma	3610407.0	1134278.0	False
sample_Sample_B_013_BC01_Yr2_CTTGTA_R1_001_fastq	EXR-KJENS1RID1-AN	906073.0000000002	Plasma	10433354.0	906073.0	False
sample_Sample_B_013_GC04_Yr2_TAGCTT_R1_001_fastq	EXR-KJENS1RID1-AN	594160.0	Plasma	7391071.0	594160.0	False
sample_Sample_B_013_GC06_Yr2_CAAAAG_R1_001_fastq	EXR-KJENS1RID1-AN	3036747.9999999995	Plasma	10690227.0	3036748.0	False
sample_Sample_B_013_GC07_Yr2_CAGGCG_R1_001_fastq	EXR-KJENS1RID1-AN	759421.0	Plasma	8302039.0	759421.0	False
sample_Sample_B_013_GC15_CGTACG_combined_4_R1_001_fastq	EXR-KJENS1RID1-AN	357224.99999999994	Plasma	10634323.0	357225.0	False
sample_Sample_B_014_BC01_ATGAGC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	1898.9999999999995	Plasma	30049.0	1899.0	True
sample_Sample_B_014_BC01_Yr2_ATTCCT_R1_001_fastq	EXR-KJENS1RID1-AN	1662974.0	Plasma	9521896.0	1662974.0	False
sample_Sample_B_014_GC06_GGCTAC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	711857.0	Plasma	4291409.0	711857.0	False
sample_Sample_B_014_GC11_Yr2_ATGTCA_R1_001_fastq	EXR-KJENS1RID1-AN	775246.0	Plasma	7742804.0	775246.0	False
sample_Sample_B_015_BC01_Yr2_TAGCTT_R1_001_fastq	EXR-KJENS1RID1-AN	919839.0	Plasma	4571916.0	919839.0	False
sample_Sample_B_019_BC01_Yr2_GGCTAC_R1_001_fastq	EXR-KJENS1RID1-AN	2997664.0000000005	Plasma	7652976.0	2997664.0	False
sample_Sample_B_019_GC01_Yr2_CCGTCC_R1_001_fastq	EXR-KJENS1RID1-AN	1831600.9999999995	Plasma	10342452.0	1831601.0	False
sample_Sample_B_019_GC03_Yr2_GTGGCC_R1_001_fastq	EXR-KJENS1RID1-AN	2186585.0	Plasma	6960606.0	2186585.0	False
sample_Sample_B_022_BC01_GCCAAT_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	700591.0	Plasma	4790416.0	700591.0	False
sample_Sample_B_022_BC01_Yr2_AGTCAA_R1_001_fastq	EXR-KJENS1RID1-AN	5413563.999999999	Plasma	12994754.0	5413564.0	False
